mode,user_id,trials,frames,coverage,rmse,pck,angle_correlation,velocity_correlation,matching_score,retrieval_top1,retrieval_top5,reciprocal_rank
25d,user1,143,39.53146853146853,0.7134373442148864,0.6388627579982594,0.42118619557598924,0.3689637580697159,0.20288873053722195,0.5147900282103811,0.3816793893129771,0.5572519083969466,0.4841243183745168
25d,user16,183,34.39344262295082,0.8828830558251224,0.47114583654871683,0.43787952139480957,0.5802695868205806,0.21041398089340793,0.5779300495987212,0.3825136612021858,0.6885245901639344,0.5302683733830663
25d,user18,155,31.006451612903227,0.8613394146532987,0.4921564899476675,0.4151282453150411,0.5237422632890589,0.19148650453550642,0.5561901905576714,0.432258064516129,0.7161290322580646,0.5549550017576712
25d,user19,171,24.70175438596491,0.8293168386896489,0.44460810313720883,0.4608783349671966,0.5552862772360562,0.2353899185384548,0.5797295680970872,0.3878787878787879,0.7272727272727273,0.5402905241288094
25d,user2,153,33.42483660130719,0.7762263909541689,0.575497235708306,0.3976342216937394,0.4630777460260565,0.21562946238894698,0.528886370670143,0.5,0.7191780821917808,0.6114509759247416
25d,user20,154,30.318181818181817,0.8729689269963596,0.5090725558798055,0.3964891982347264,0.5200621606602436,0.22915871594838627,0.5494474682201348,0.2597402597402597,0.6233766233766234,0.42680863082555964
25d,user21,121,26.950413223140497,0.8501032733948839,0.5490980798289711,0.4486168526068091,0.5893807166237411,0.24486856509499574,0.5835974762090845,0.24166666666666667,0.575,0.4065670252966308
25d,user22,168,23.839285714285715,0.9058565429350199,0.5275484389520219,0.43206136654189176,0.5650384710880462,0.22452861497618654,0.5765628991235611,0.35119047619047616,0.6071428571428571,0.4798186520452508
25d,user3,134,31.067164179104477,0.7982108954031137,0.45797359731187626,0.3865012800547997,0.33216027115615976,0.23988266553817905,0.5170548020877066,0.37209302325581395,0.627906976744186,0.4865584803185729
25d,user5,99,43.98989898989899,0.7920979722531358,0.520194607182679,0.4211032989733111,0.5961233922840141,0.21788089083399106,0.5617700177015854,0.31313131313131315,0.6363636363636364,0.46906321240285676
25d,user6,194,35.20618556701031,0.7111607768462781,0.3849895116583572,0.5001759135243172,0.5489265182908157,0.22637043703786663,0.590028755694222,0.4789473684210526,0.7052631578947368,0.5773324969976551
25d,user7,170,26.847058823529412,0.8113965042258267,0.5143763593403364,0.4305203568880858,0.482028231319567,0.2322315274963948,0.5579551231298124,0.6325301204819277,0.8855421686746988,0.7402549557891515
25d,user8,153,30.99346405228758,0.7076805782004137,0.37045006889957993,0.47197818072787817,0.5236816650311376,0.2972942984943706,0.5569793704358448,0.674074074074074,0.8814814814814815,0.7678254650861912
25d,user9,154,23.2987012987013,0.73251542479063,0.468531390288173,0.44928392938030676,0.42207102788826106,0.23180812241835472,0.5497502456209514,0.3541666666666667,0.6388888888888888,0.4929312763503783
2d,user1,143,39.53146853146853,0.7188139308219422,0.20026977344802244,0.7464384015987404,0.4823002802459035,0.27573270140934775,0.7010794367970461,0.5343511450381679,0.732824427480916,0.6318527775730602
2d,user16,183,34.39344262295082,0.902161187462348,0.1823063687586552,0.7627230168656582,0.7918623036006216,0.30554246746506364,0.7868156934422887,0.5573770491803278,0.819672131147541,0.6746684124225174
2d,user18,155,31.006451612903227,0.8752317036501812,0.20719131300976248,0.7305824852769158,0.6610611534254172,0.2749173426849933,0.7510684533112381,0.6258064516129033,0.8838709677419355,0.7390327689507844
2d,user19,171,24.70175438596491,0.8633749747872094,0.18786026086698912,0.7841041787632957,0.7322163384849981,0.3222530205174469,0.7830915149323895,0.6506024096385542,0.8855421686746988,0.7466666585721754
2d,user2,153,33.42483660130719,0.7880390593092366,0.23731808339919294,0.7407732618697811,0.5894789576098814,0.2956563758867489,0.7344698744448612,0.6394557823129252,0.8231292517006803,0.7253375534893096
2d,user20,154,30.318181818181817,0.8819445715554879,0.20499755767377986,0.7404300105229148,0.7391946368000033,0.33525688297591666,0.7694946928463461,0.538961038961039,0.8181818181818182,0.6681838550859526
2d,user21,121,26.950413223140497,0.8795317515082187,0.21938293378155593,0.7142359311032558,0.6839037838432407,0.3116067774150312,0.7471575345545742,0.39166666666666666,0.8166666666666667,0.575215976678091
2d,user22,168,23.839285714285715,0.9235505274850541,0.17450030865354277,0.8072568571949309,0.7287618956982997,0.2893407804374516,0.8059230723083562,0.6011904761904762,0.8809523809523809,0.7171567340363523
2d,user3,134,31.067164179104477,0.8119104568506305,0.18290253727041364,0.7698254367886282,0.4888301265558548,0.3372018787838315,0.751730131703251,0.4351145038167939,0.648854961832061,0.5379653929213657
2d,user5,99,43.98989898989899,0.8005273533742532,0.2195442735133291,0.6928138943660267,0.6904516247665231,0.29160653770982337,0.7270160300436291,0.5656565656565656,0.797979797979798,0.6699026888708333
2d,user6,194,35.20618556701031,0.7616425795876071,0.17610046762250697,0.8058627251728887,0.6131515553975356,0.30064803602382434,0.778136285134556,0.6683937823834197,0.8134715025906736,0.7331008333351892
2d,user7,170,26.847058823529412,0.844316846960867,0.19185817015869003,0.7336705138430291,0.6601723490638173,0.32195850141132043,0.7531145898219834,0.7705882352941177,0.9411764705882353,0.8442760180995476
2d,user8,153,30.99346405228758,0.757232607206579,0.19560816349391075,0.7107782707961334,0.6307618302904023,0.34795039679783907,0.7281513383907089,0.7449664429530202,0.9194630872483222,0.817645070282931
2d,user9,154,23.2987012987013,0.7747633720585286,0.18635864951741277,0.7616951598707632,0.5643199832297568,0.2521030997593255,0.742314854022116,0.46357615894039733,0.7947019867549668,0.6170774657073828
