mode,sample_id,control,score
2d,train__c07__user1__3-1-3,positive_same_trial,0.935090366453041
2d,train__c07__user1__3-1-3,same_action_other_trial,0.8761511312621172
2d,train__c07__user1__3-1-3,different_action,0.6515774439068351
2d,train__c07__user1__3-1-3,time_shuffle,0.9021834577128314
2d,train__c07__user1__3-1-3,left_right_swap,0.6669578175755425
2d,train__c07__user1__4-1-1,positive_same_trial,0.8508639182823413
2d,train__c07__user1__4-1-1,same_action_other_trial,0.8716994556368063
2d,train__c07__user1__4-1-1,different_action,0.70263858390005
2d,train__c07__user1__4-1-1,time_shuffle,0.8507952467913731
2d,train__c07__user1__4-1-1,left_right_swap,0.7387843184739374
2d,train__c07__user1__4-1-2,positive_same_trial,0.8484853247007589
2d,train__c07__user1__4-1-2,same_action_other_trial,0.7830726169882971
2d,train__c07__user1__4-1-2,different_action,0.6055649884695042
2d,train__c07__user1__4-1-2,time_shuffle,0.8424449855310016
2d,train__c07__user1__4-1-2,left_right_swap,0.7227641668251795
2d,train__c07__user1__4-1-3,positive_same_trial,0.8390937387102168
2d,train__c07__user1__4-1-3,same_action_other_trial,0.8389724535287353
2d,train__c07__user1__4-1-3,different_action,0.7808197638215619
2d,train__c07__user1__4-1-3,time_shuffle,0.8347399715635012
2d,train__c07__user1__4-1-3,left_right_swap,0.692096893291877
2d,train__c07__user1__6-1-1,positive_same_trial,0.9348810387582478
2d,train__c07__user1__6-1-1,same_action_other_trial,0.9269358190215471
2d,train__c07__user1__6-1-1,different_action,0.8738738565569134
2d,train__c07__user1__6-1-1,time_shuffle,0.9314643351167317
2d,train__c07__user1__6-1-1,left_right_swap,0.7563759038689198
2d,train__c07__user1__6-1-2,positive_same_trial,0.9308272728492486
2d,train__c07__user1__6-1-2,same_action_other_trial,0.819077565202755
2d,train__c07__user1__6-1-2,different_action,0.7200636771470216
2d,train__c07__user1__6-1-2,time_shuffle,0.9283582607759955
2d,train__c07__user1__6-1-2,left_right_swap,0.7545830102857944
2d,train__c07__user1__6-1-3,positive_same_trial,0.925921764134922
2d,train__c07__user1__6-1-3,same_action_other_trial,0.8932887371372882
2d,train__c07__user1__6-1-3,different_action,0.6941502267816084
2d,train__c07__user1__6-1-3,time_shuffle,0.9186648238235922
2d,train__c07__user1__6-1-3,left_right_swap,0.754173407428496
2d,train__c08__user1__1-2-1,positive_same_trial,0.914385022974937
2d,train__c08__user1__1-2-1,same_action_other_trial,0.8920621672864869
2d,train__c08__user1__1-2-1,different_action,0.690945179439482
2d,train__c08__user1__1-2-1,time_shuffle,0.8498979644942778
2d,train__c08__user1__1-2-1,left_right_swap,0.8184334223603741
2d,train__c08__user1__1-2-2,positive_same_trial,0.9161505230462185
2d,train__c08__user1__1-2-2,same_action_other_trial,0.7845842210062387
2d,train__c08__user1__1-2-2,different_action,0.7467861186415852
2d,train__c08__user1__1-2-2,time_shuffle,0.8693063708186456
2d,train__c08__user1__1-2-2,left_right_swap,0.8635070340390637
2d,train__c08__user1__2-1-2,positive_same_trial,0.9319369253601513
2d,train__c08__user1__2-1-2,same_action_other_trial,0.7106017601693234
2d,train__c08__user1__2-1-2,different_action,0.5876653982560519
2d,train__c08__user1__2-1-2,time_shuffle,0.8658384749157112
2d,train__c08__user1__2-1-2,left_right_swap,0.8208301547364509
2d,train__c08__user1__2-1-3,positive_same_trial,0.9191951952950719
2d,train__c08__user1__2-1-3,same_action_other_trial,0.7204742327330372
2d,train__c08__user1__2-1-3,different_action,0.6676083549057356
2d,train__c08__user1__2-1-3,time_shuffle,0.9087012348093605
2d,train__c08__user1__2-1-3,left_right_swap,0.7586426566814418
2d,train__c08__user1__4-1-1,positive_same_trial,0.8909440761597658
2d,train__c08__user1__4-1-1,same_action_other_trial,0.7940783262392825
2d,train__c08__user1__4-1-1,different_action,0.6064881685502678
2d,train__c08__user1__4-1-1,time_shuffle,0.8468360679084334
2d,train__c08__user1__4-1-1,left_right_swap,0.7937408968787928
2d,train__c08__user1__4-1-2,positive_same_trial,0.9112387731050078
2d,train__c08__user1__4-1-2,same_action_other_trial,0.8153431215375191
2d,train__c08__user1__4-1-2,different_action,0.7129362579608988
2d,train__c08__user1__4-1-2,time_shuffle,0.8823175189279996
2d,train__c08__user1__4-1-2,left_right_swap,0.7329904480222758
2d,train__c08__user1__5-1-1,positive_same_trial,0.8223860100121212
2d,train__c08__user1__5-1-1,same_action_other_trial,0.7207551893041632
2d,train__c08__user1__5-1-1,different_action,0.6573836810115434
2d,train__c08__user1__5-1-1,time_shuffle,0.8263305362103474
2d,train__c08__user1__5-1-1,left_right_swap,0.6515467214410657
2d,train__c08__user1__5-1-2,positive_same_trial,0.8486197843294021
2d,train__c08__user1__5-1-2,same_action_other_trial,0.8538844567034661
2d,train__c08__user1__5-1-2,different_action,0.7703365869064926
2d,train__c08__user1__5-1-2,time_shuffle,0.8251966934596806
2d,train__c08__user1__5-1-2,left_right_swap,0.8082763127275988
2d,train__c08__user1__5-1-3,positive_same_trial,0.8752855394905967
2d,train__c08__user1__5-1-3,same_action_other_trial,0.7615319557998548
2d,train__c08__user1__5-1-3,different_action,0.7541599947760802
2d,train__c08__user1__5-1-3,time_shuffle,0.855491720067611
2d,train__c08__user1__5-1-3,left_right_swap,0.7277679008333597
2d,train__c09__user1__2-1-2,positive_same_trial,0.9337071756472257
2d,train__c09__user1__2-1-2,same_action_other_trial,0.7913589684736564
2d,train__c09__user1__2-1-2,different_action,0.8437082071812118
2d,train__c09__user1__2-1-2,time_shuffle,0.9294525692622913
2d,train__c09__user1__2-1-2,left_right_swap,0.801582285601259
2d,train__c09__user1__2-1-3,positive_same_trial,0.8862276829031486
2d,train__c09__user1__2-1-3,same_action_other_trial,0.7270624777267374
2d,train__c09__user1__2-1-3,different_action,0.6643573703950355
2d,train__c09__user1__2-1-3,time_shuffle,0.8303966311667347
2d,train__c09__user1__2-1-3,left_right_swap,0.8080737261115756
2d,train__c09__user1__4-1-1,positive_same_trial,0.8222493500137052
2d,train__c09__user1__4-1-1,same_action_other_trial,0.8333912966095642
2d,train__c09__user1__4-1-1,different_action,0.7069660071363475
2d,train__c09__user1__4-1-1,time_shuffle,0.8014102041239112
2d,train__c09__user1__4-1-1,left_right_swap,0.7164097323989264
2d,train__c09__user1__4-1-2,positive_same_trial,0.7877891884162006
2d,train__c09__user1__4-1-2,same_action_other_trial,0.7449845949934953
2d,train__c09__user1__4-1-2,different_action,0.7077836368381055
2d,train__c09__user1__4-1-2,time_shuffle,0.767041609939208
2d,train__c09__user1__4-1-2,left_right_swap,0.6988104968250183
2d,train__c09__user1__4-1-3,positive_same_trial,0.8410823363498371
2d,train__c09__user1__4-1-3,same_action_other_trial,0.8336504572326474
2d,train__c09__user1__4-1-3,different_action,0.8113204315418879
2d,train__c09__user1__4-1-3,time_shuffle,0.799267798895355
2d,train__c09__user1__4-1-3,left_right_swap,0.7091904099439705
2d,train__c10__user1__2-1-2,positive_same_trial,0.9216148147080451
2d,train__c10__user1__2-1-2,same_action_other_trial,0.8697306254378306
2d,train__c10__user1__2-1-2,different_action,0.74702819994476
2d,train__c10__user1__2-1-2,time_shuffle,0.9188585935555498
2d,train__c10__user1__2-1-2,left_right_swap,0.816395601909408
2d,train__c10__user1__2-1-3,positive_same_trial,0.9455008751621463
2d,train__c10__user1__2-1-3,same_action_other_trial,0.8307124759909872
2d,train__c10__user1__2-1-3,different_action,0.8191289931233058
2d,train__c10__user1__2-1-3,time_shuffle,0.9381600643846416
2d,train__c10__user1__2-1-3,left_right_swap,0.7903358657813829
2d,train__c10__user1__3-1-1,positive_same_trial,0.9336393134753205
2d,train__c10__user1__3-1-1,same_action_other_trial,0.847239621471746
2d,train__c10__user1__3-1-1,different_action,0.6750514272009458
2d,train__c10__user1__3-1-1,time_shuffle,0.9323322098549669
2d,train__c10__user1__3-1-1,left_right_swap,0.7629444482372798
2d,train__c10__user1__3-1-2,positive_same_trial,0.9400769804415859
2d,train__c10__user1__3-1-2,same_action_other_trial,0.9048735669794683
2d,train__c10__user1__3-1-2,different_action,0.662772892879678
2d,train__c10__user1__3-1-2,time_shuffle,0.9387638540631212
2d,train__c10__user1__3-1-2,left_right_swap,0.7556298906759686
2d,train__c10__user1__3-1-3,positive_same_trial,0.9439839750695943
2d,train__c10__user1__3-1-3,same_action_other_trial,0.848408333493968
2d,train__c10__user1__3-1-3,different_action,0.737917709332127
2d,train__c10__user1__3-1-3,time_shuffle,0.9367412462698729
2d,train__c10__user1__3-1-3,left_right_swap,0.699876904303557
2d,train__c10__user1__4-1-1,positive_same_trial,0.8749035278648382
2d,train__c10__user1__4-1-1,same_action_other_trial,0.8480581662073888
2d,train__c10__user1__4-1-1,different_action,0.739414260048621
2d,train__c10__user1__4-1-1,time_shuffle,0.872082710606317
2d,train__c10__user1__4-1-1,left_right_swap,0.7547364570943423
2d,train__c11__user1__1-2-1,positive_same_trial,0.9235490333885525
2d,train__c11__user1__1-2-1,same_action_other_trial,0.8104455612406186
2d,train__c11__user1__1-2-1,different_action,0.7624351238736288
2d,train__c11__user1__1-2-1,time_shuffle,0.9040318526919084
2d,train__c11__user1__1-2-1,left_right_swap,0.8633473897267183
2d,train__c11__user1__1-2-2,positive_same_trial,0.9312757175699712
2d,train__c11__user1__1-2-2,same_action_other_trial,0.8253700954870172
2d,train__c11__user1__1-2-2,different_action,0.8378630930333902
2d,train__c11__user1__1-2-2,time_shuffle,0.9209858517634221
2d,train__c11__user1__1-2-2,left_right_swap,0.8579605709935643
2d,train__c11__user1__4-1-1,positive_same_trial,0.8590428529083243
2d,train__c11__user1__4-1-1,same_action_other_trial,0.8224644877927518
2d,train__c11__user1__4-1-1,different_action,0.6133546449160107
2d,train__c11__user1__4-1-1,time_shuffle,0.8589974940785473
2d,train__c11__user1__4-1-1,left_right_swap,0.7468106545228271
2d,train__c11__user1__4-1-2,positive_same_trial,0.8440318690130818
2d,train__c11__user1__4-1-2,same_action_other_trial,0.8033358424487681
2d,train__c11__user1__4-1-2,different_action,0.8200918463801653
2d,train__c11__user1__4-1-2,time_shuffle,0.8441168174314229
2d,train__c11__user1__4-1-2,left_right_swap,0.7245772381905767
2d,train__c11__user1__4-1-3,positive_same_trial,0.8856027612853505
2d,train__c11__user1__4-1-3,same_action_other_trial,0.8608264776629049
2d,train__c11__user1__4-1-3,different_action,0.8822222194080437
2d,train__c11__user1__4-1-3,time_shuffle,0.8761658787470723
2d,train__c11__user1__4-1-3,left_right_swap,0.7280322073273023
2d,train__c11__user1__6-1-1,positive_same_trial,0.9285392351755098
2d,train__c11__user1__6-1-1,same_action_other_trial,0.8356519059437049
