mode,queries,mean_gallery_size,top1,top5,mrr,positive_vs_all_controls_auc
25d,2085,157.4378896882494,0.41678657074340525,0.6896882494004796,0.5450554669840884,0.6215570452248745
2d,2117,157.45488899385924,0.5932923948984412,0.8318375059045819,0.6993783607873808,0.8414721076068334
