fold,samples,e1_accuracy,e2_accuracy,e1_macro_f1_40class,e2_macro_f1_40class,e1_only,e2_only,e2_minus_e1_accuracy,e2_minus_e1_macro_f1
0,812,0.39039408866995073,0.3706896551724138,0.2726958459592424,0.27947534980305505,35,19,-0.019704433497536922,0.006779503843812651
1,667,0.4512743628185907,0.43478260869565216,0.349947344621279,0.3463731764092139,47,36,-0.016491754122938518,-0.003574168212065132
2,862,0.43387470997679817,0.4222737819025522,0.3287240664636955,0.3404227061176811,51,41,-0.011600928074245953,0.011698639653985599
