model,samples,accuracy,macro_f1_40class,weighted_f1
E2-seed-20260812,2341,0.3622383596753524,0.26173072700400873,0.34077464027767096
E2-seed-20260912,2341,0.3673643741990602,0.27877630302605316,0.3535355168623553
E2-seed-20261012,2341,0.39769329346433147,0.3247933723643913,0.39267241141759024
