representation,fold,member_seeds,selected_epochs_by_seed,outer_validation_users,outer_validation_trials,outer_accuracy,outer_macro_f1_40class,outer_weighted_f1,parameter_count_per_member,parameter_count_total,sampling_strategy,oof_assignment_sha256,outer_validation_labels_used_for_selection,sampling_fit_excludes_scope_validation_users,preprocessing_fit_excludes_scope_validation_users,ensemble_weights_fitted_on_outer_validation,ensemble_rule
E2_c1_tcn_inverse_sqrt_balanced_3seed_probability_ensemble,0,"[20260812, 20260912, 20261012]","{'20260812': 15, '20260912': 18, '20261012': 11}","['user18', 'user20', 'user21', 'user3', 'user9']",812,0.3706896551724138,0.27947534980305505,0.35390417327376084,172776,518328,inverse_sqrt_class_frequency,2a0dde67ced6f40cf3a163f63d545f1e3cde3545b6ee0eb0291cf1c52c38ea76,False,True,True,False,equal_mean_softmax_probability
E2_c1_tcn_inverse_sqrt_balanced_3seed_probability_ensemble,1,"[20260812, 20260912, 20261012]","{'20260812': 7, '20260912': 8, '20261012': 33}","['user1', 'user16', 'user2', 'user8']",667,0.43478260869565216,0.3463731764092139,0.4152384005025295,172776,518328,inverse_sqrt_class_frequency,2a0dde67ced6f40cf3a163f63d545f1e3cde3545b6ee0eb0291cf1c52c38ea76,False,True,True,False,equal_mean_softmax_probability
E2_c1_tcn_inverse_sqrt_balanced_3seed_probability_ensemble,2,"[20260812, 20260912, 20261012]","{'20260812': 16, '20260912': 25, '20261012': 33}","['user19', 'user22', 'user5', 'user6', 'user7']",862,0.4222737819025522,0.3404227061176811,0.41499017983736713,172776,518328,inverse_sqrt_class_frequency,2a0dde67ced6f40cf3a163f63d545f1e3cde3545b6ee0eb0291cf1c52c38ea76,False,True,True,False,equal_mean_softmax_probability
