class_id,support,precision_e1,precision_e2,recall_e1,recall_e2,f1_e1,f1_e2,e2_minus_e1_f1,action_name
0,32,0.3448275862068966,0.3389830508474576,0.625,0.625,0.4444444444444444,0.43956043956043955,-0.004884004884004867,Wash_face
1,36,0.38461538461538464,0.34285714285714286,0.1388888888888889,0.3333333333333333,0.20408163265306123,0.3380281690140845,0.13394653636102327,Brush_teeth
2,45,0.29411764705882354,0.1875,0.1111111111111111,0.13333333333333333,0.16129032258064516,0.15584415584415584,-0.005446166736489316,Comb_hair
3,30,0.2,0.34782608695652173,0.03333333333333333,0.26666666666666666,0.05714285714285714,0.3018867924528302,0.24474393530997304,Take_off_clothes
4,55,0.28205128205128205,0.16666666666666666,0.2,0.16363636363636364,0.23404255319148937,0.1651376146788991,-0.06890493851259027,Wipe_hands
5,42,0.45454545454545453,0.5,0.47619047619047616,0.5,0.46511627906976744,0.5,0.034883720930232565,Put_on_clothes
6,107,0.27319587628865977,0.2721518987341772,0.4953271028037383,0.40186915887850466,0.3521594684385382,0.32452830188679244,-0.027631166551745745,Drink_water
7,122,0.28061224489795916,0.33962264150943394,0.45081967213114754,0.29508196721311475,0.34591194968553457,0.3157894736842105,-0.03012247600132406,Eat_food
8,83,0.136986301369863,0.11864406779661017,0.12048192771084337,0.08433734939759036,0.1282051282051282,0.09859154929577464,-0.029613578909353552,Take_and_use_tableware
9,115,0.31891891891891894,0.33986928104575165,0.5130434782608696,0.45217391304347826,0.3933333333333333,0.3880597014925373,-0.005273631840795989,Pour_drinks
10,101,0.20689655172413793,0.2236842105263158,0.1782178217821782,0.16831683168316833,0.19148936170212766,0.192090395480226,0.0006010337780983366,Stir_drinks
11,88,0.1794871794871795,0.16,0.1590909090909091,0.18181818181818182,0.1686746987951807,0.1702127659574468,0.0015380671622660935,Peel_fruits
12,54,0.4772727272727273,0.43902439024390244,0.3888888888888889,0.3333333333333333,0.42857142857142855,0.37894736842105264,-0.049624060150375904,Sweep_the_floor
13,50,0.4166666666666667,0.37777777777777777,0.4,0.34,0.40816326530612246,0.35789473684210527,-0.05026852846401719,Mop_the_floor
14,29,0.4,0.08333333333333333,0.06896551724137931,0.034482758620689655,0.11764705882352941,0.04878048780487805,-0.06886657101865136,Wipe_bowls
15,43,0.2903225806451613,0.24489795918367346,0.20930232558139536,0.27906976744186046,0.24324324324324326,0.2608695652173913,0.01762632197414804,Wipe_windows_and_tables
16,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fold_clothes
17,69,0.5189873417721519,0.532258064516129,0.5942028985507246,0.4782608695652174,0.5540540540540541,0.5038167938931297,-0.050237260160924335,Tap_the_keyboard
18,27,1.0,0.4166666666666667,0.1111111111111111,0.18518518518518517,0.2,0.2564102564102564,0.056410256410256376,Write
19,35,0.08695652173913043,0.06896551724137931,0.05714285714285714,0.05714285714285714,0.06896551724137931,0.0625,-0.006465517241379309,Make_a_phone_call
20,82,0.3150684931506849,0.31746031746031744,0.2804878048780488,0.24390243902439024,0.2967741935483871,0.27586206896551724,-0.02091212458286984,Check_the_time
21,58,0.3673469387755102,0.36,0.3103448275862069,0.3103448275862069,0.3364485981308411,0.3333333333333333,-0.0031152647975077885,Read_documents
22,50,0.22857142857142856,0.15384615384615385,0.32,0.2,0.26666666666666666,0.17391304347826086,-0.0927536231884058,Turn_pages
23,58,0.313953488372093,0.33783783783783783,0.46551724137931033,0.43103448275862066,0.375,0.3787878787878788,0.0037878787878787845,Listen_to_music_with_headphones
24,32,0.1111111111111111,0.10714285714285714,0.0625,0.09375,0.08,0.1,0.020000000000000004,Use_a_mobile_phone
25,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Watch_TV
26,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Play_games
27,27,0.4,0.2962962962962963,0.2222222222222222,0.2962962962962963,0.2857142857142857,0.2962962962962963,0.010582010582010581,Take_a_selfie
28,26,0.6666666666666666,0.5263157894736842,0.6923076923076923,0.7692307692307693,0.6792452830188679,0.625,-0.054245283018867885,Jog_in_place
29,62,0.5625,0.532258064516129,0.5806451612903226,0.532258064516129,0.5714285714285714,0.532258064516129,-0.03917050691244239,Do_squats
30,38,0.775,0.8205128205128205,0.8157894736842105,0.8421052631578947,0.7948717948717948,0.8311688311688312,0.0362970362970364,Do_jumping_jacks
31,67,0.4766355140186916,0.5161290322580645,0.7611940298507462,0.7164179104477612,0.5862068965517241,0.6,0.01379310344827589,Do_stretching_exercises
32,60,0.6612903225806451,0.75,0.6833333333333333,0.75,0.6721311475409836,0.75,0.07786885245901642,Stand_up
33,27,0.6285714285714286,0.6470588235294118,0.8148148148148148,0.8148148148148148,0.7096774193548387,0.7213114754098361,0.011634056054997344,Lie_down
34,116,0.7053571428571429,0.7272727272727273,0.6810344827586207,0.6896551724137931,0.6929824561403509,0.7079646017699115,0.014982145629560573,Sit_down
35,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Do_lunges
36,264,0.8316498316498316,0.8571428571428571,0.9356060606060606,0.9090909090909091,0.8805704099821747,0.8823529411764706,0.0017825311942958333,Walk
37,51,0.08333333333333333,0.08333333333333333,0.0196078431372549,0.0196078431372549,0.031746031746031744,0.031746031746031744,0.0,Take_medicine
38,50,0.2222222222222222,0.375,0.04,0.18,0.06779661016949153,0.24324324324324326,0.17544663307375175,Massage_oneself
39,40,0.5,0.3157894736842105,0.075,0.15,0.13043478260869565,0.2033898305084746,0.07295504789977894,Take_body_temperature
