user_id,samples,e1_accuracy,e2_accuracy,e1_macro_f1_40class,e2_macro_f1_40class,e1_only,e2_only,e2_minus_e1_accuracy,e2_minus_e1_macro_f1
user1,149,0.3959731543624161,0.3691275167785235,0.1661168831168831,0.16516394127327633,12,8,-0.02684563758389258,-0.0009529418436067805
user16,186,0.5053763440860215,0.4838709677419355,0.3327949134199134,0.3419243256743257,19,15,-0.021505376344086002,0.009129412254412272
user18,178,0.37640449438202245,0.3651685393258427,0.24219753285929757,0.25316037677492786,7,5,-0.011235955056179747,0.010962843915630294
user19,186,0.6182795698924731,0.5967741935483871,0.36811200597279764,0.3811863579005859,13,9,-0.021505376344086002,0.013074351927788275
user2,167,0.5149700598802395,0.48502994011976047,0.2617585652604154,0.25708059384463355,10,5,-0.029940119760479,-0.004677971415781856
user20,159,0.3270440251572327,0.3081761006289308,0.18207594853976433,0.1746520157165937,4,1,-0.018867924528301883,-0.007423932823170637
user21,133,0.2706766917293233,0.2706766917293233,0.09405264467333432,0.09120220057720058,3,3,0.0,-0.0028504440961337474
user22,191,0.39790575916230364,0.4083769633507853,0.23719803626325361,0.2636799724930698,7,9,0.010471204188481686,0.026481936229816178
user3,161,0.453416149068323,0.39751552795031053,0.23826335292614367,0.23700916091581056,14,5,-0.05590062111801247,-0.0012541920103331106
user5,100,0.29,0.2,0.0910225917596013,0.06209595959595959,10,1,-0.08999999999999997,-0.028926632163641705
user6,201,0.3880597014925373,0.3681592039800995,0.25093501940469903,0.24982839902319345,12,8,-0.01990049751243783,-0.0011066203815055797
user7,184,0.41304347826086957,0.44021739130434784,0.2761457852470438,0.3130975968475968,9,14,0.02717391304347827,0.036951811600553
user8,165,0.37575757575757573,0.3878787878787879,0.24305139305139303,0.25169705702793943,6,8,0.012121212121212144,0.008645663976546397
user9,181,0.49171270718232046,0.48066298342541436,0.26593060410551334,0.2760353316274369,7,5,-0.011049723756906105,0.01010472752192354
