class_id,samples,c0_accuracy,c1_accuracy,c1_minus_c0,c0_only,c1_only
0,32,0.625,0.625,0.0,0,0
1,36,0.027777777777777776,0.19444444444444445,0.16666666666666669,0,6
2,45,0.13333333333333333,0.13333333333333333,0.0,1,1
3,30,0.0,0.06666666666666667,0.06666666666666667,0,2
4,55,0.01818181818181818,0.2,0.18181818181818182,1,11
5,42,0.2619047619047619,0.42857142857142855,0.16666666666666663,3,10
6,107,0.4766355140186916,0.45794392523364486,-0.01869158878504673,9,7
7,122,0.39344262295081966,0.4672131147540984,0.07377049180327871,5,14
8,83,0.07228915662650602,0.12048192771084337,0.04819277108433735,4,8
9,115,0.5304347826086957,0.4782608695652174,-0.05217391304347829,10,4
10,101,0.297029702970297,0.1782178217821782,-0.1188118811881188,15,3
11,88,0.11363636363636363,0.20454545454545456,0.09090909090909093,3,11
12,54,0.3888888888888889,0.4074074074074074,0.01851851851851849,2,3
13,50,0.14,0.34,0.2,0,10
14,29,0.0,0.0,0.0,0,0
15,43,0.23255813953488372,0.32558139534883723,0.09302325581395351,0,4
16,15,0.0,0.0,0.0,0,0
17,69,0.6376811594202898,0.5507246376811594,-0.08695652173913038,10,4
18,27,0.0,0.1111111111111111,0.1111111111111111,0,3
19,35,0.0,0.08571428571428572,0.08571428571428572,0,3
20,82,0.23170731707317074,0.17073170731707318,-0.06097560975609756,6,1
21,58,0.22413793103448276,0.22413793103448276,0.0,5,5
22,50,0.2,0.26,0.06,3,6
23,58,0.46551724137931033,0.46551724137931033,0.0,3,3
24,32,0.0625,0.0,-0.0625,2,0
25,6,0.0,0.0,0.0,0,0
26,28,0.10714285714285714,0.03571428571428571,-0.07142857142857142,2,0
27,27,0.1111111111111111,0.07407407407407407,-0.037037037037037035,2,1
28,26,0.19230769230769232,0.6538461538461539,0.46153846153846156,0,12
29,62,0.46774193548387094,0.5645161290322581,0.09677419354838718,2,8
30,38,0.7631578947368421,0.868421052631579,0.10526315789473684,1,5
31,67,0.7910447761194029,0.746268656716418,-0.04477611940298498,5,2
32,60,0.6333333333333333,0.6833333333333333,0.050000000000000044,1,4
33,27,0.48148148148148145,0.6296296296296297,0.1481481481481482,1,5
34,116,0.6810344827586207,0.6724137931034483,-0.008620689655172376,4,3
35,21,0.0,0.047619047619047616,0.047619047619047616,0,1
36,264,0.9621212121212122,0.9090909090909091,-0.053030303030303094,14,0
37,51,0.0196078431372549,0.0392156862745098,0.0196078431372549,1,2
38,50,0.0,0.06,0.06,0,3
39,40,0.025,0.075,0.049999999999999996,1,3
