user_id,samples,c0_accuracy,c1_accuracy,c1_minus_c0,c0_only,c1_only
user1,149,0.3624161073825503,0.3959731543624161,0.03355704697986578,7,12
user16,186,0.46774193548387094,0.5483870967741935,0.08064516129032256,18,33
user18,178,0.3539325842696629,0.3595505617977528,0.005617977528089901,2,3
user19,186,0.553763440860215,0.6182795698924731,0.06451612903225812,4,16
user2,167,0.40718562874251496,0.5389221556886228,0.13173652694610782,8,30
user20,159,0.2830188679245283,0.27672955974842767,-0.0062893081761006275,6,5
user21,133,0.2932330827067669,0.24060150375939848,-0.05263157894736842,7,0
user22,191,0.34554973821989526,0.3717277486910995,0.026178010471204216,5,10
user3,161,0.4409937888198758,0.4472049689440994,0.006211180124223614,3,4
user5,100,0.31,0.29,-0.020000000000000018,6,4
user6,201,0.34328358208955223,0.3333333333333333,-0.009950248756218916,11,9
user7,184,0.3695652173913043,0.3967391304347826,0.02717391304347827,14,19
user8,165,0.26666666666666666,0.3575757575757576,0.09090909090909094,6,21
user9,181,0.5414364640883977,0.44751381215469616,-0.09392265193370158,19,2
