fold,selected_epoch,inner_max_train_accuracy,inner_best_validation_accuracy,formal_max_train_accuracy,outer_accuracy
0,28,0.8231939163498099,0.4046121593291404,0.7612818835840419,0.4408866995073892
1,11,0.7393790849673203,0.3666666666666666,0.546594982078853,0.431784107946027
2,9,0.7114375655823715,0.4258555133079847,0.4922244759972954,0.3689095127610209
