model,samples,accuracy,macro_f1_40class,weighted_f1
C1-TCN,2341,0.4092268261426741,0.300834981534819,0.38308524439571284
D2-v1-JointBone-TCN,2341,0.41178983340452796,0.29265728772646254,0.3818007515070286
