user_id,samples,c1_accuracy,d2_accuracy,d2_minus_c1,c1_only,d2_only
user1,149,0.3959731543624161,0.42953020134228187,0.03355704697986578,7,12
user16,186,0.5483870967741935,0.4946236559139785,-0.053763440860215006,23,13
user18,178,0.3595505617977528,0.4157303370786517,0.0561797752808989,16,26
user19,186,0.6182795698924731,0.5161290322580645,-0.10215053763440862,27,8
user2,167,0.5389221556886228,0.5029940119760479,-0.03592814371257491,24,18
user20,159,0.27672955974842767,0.389937106918239,0.11320754716981135,5,23
user21,133,0.24060150375939848,0.3684210526315789,0.12781954887218044,1,18
user22,191,0.3717277486910995,0.3298429319371728,-0.04188481675392669,15,7
user3,161,0.4472049689440994,0.45962732919254656,0.012422360248447173,9,11
user5,100,0.29,0.26,-0.02999999999999997,8,5
user6,201,0.3333333333333333,0.35323383084577115,0.01990049751243783,13,17
user7,184,0.3967391304347826,0.33695652173913043,-0.05978260869565216,21,10
user8,165,0.3575757575757576,0.2909090909090909,-0.06666666666666671,18,7
user9,181,0.44751381215469616,0.5469613259668509,0.09944751381215472,15,33
