parent_index,parent_name,child_index,child_name,length_min,length_p01,length_p05,length_median,length_mean,length_p95,length_p99,length_max,length_std,length_cv,median_abs_dx,median_abs_dy,median_abs_dz
0,pelvis,1,right_hip,0.0017547286970598856,0.01951924971849639,0.034256778864752195,0.09703864062792683,0.10632966526255738,0.20626598343266575,0.3341872346534406,1.0381959787218529,0.059509070683315374,0.5596657389673051,0.07691613584756851,0.04240524396300316,0.016876518726348877
1,right_hip,2,right_knee,0.01660716251323396,0.11106366709836848,0.15831450117101728,0.3241996751316126,0.3544154938808606,0.6141779832087323,0.7528177206109258,1.7771213062739877,0.14362187171288035,0.40523587199932043,0.10452307015657425,0.06271938909776509,0.22319231927394867
2,right_knee,3,right_ankle,0.03561991077446453,0.12660760241771435,0.14935716064528665,0.28733500949335716,0.308681110297632,0.5237121431366052,0.6658802507951999,2.0928347129118308,0.13553627117738054,0.439081844194145,0.05922766029834747,0.0673050582408905,0.24171829223632812
0,pelvis,4,left_hip,0.003720189700297856,0.047683223208192654,0.07366832805821232,0.1210395670868792,0.14191234667688182,0.27538486164588255,0.35244078741430435,0.8468437137708533,0.06616617129407426,0.46624675613832994,0.08769652992486954,0.07688219845294952,0.022894352674484253
4,left_hip,5,left_knee,0.018612323614567047,0.08647339898465407,0.12646987311933774,0.2988470288421592,0.33525636602395936,0.6940302725443331,0.8312546160423391,1.940388056222274,0.16372622115425503,0.4883612594624205,0.0857641565207814,0.05475851148366928,0.2212512195110321
5,left_knee,6,left_ankle,0.0485479607825398,0.12687470005113527,0.1549076335295566,0.27522143862262677,0.2987864750317135,0.5045937099555533,0.7769817138764398,1.936706931756193,0.13232290889791762,0.4428678001033103,0.06090769171714783,0.08013112330809236,0.22760435938835144
0,pelvis,7,spine,0.015083875631449596,0.11540842513003566,0.15302340390452013,0.2136801791428172,0.21068612467261355,0.26134360252124506,0.2924321230742637,0.8262393774054585,0.03572223193102719,0.16955189615137772,0.0580131821334362,0.023703839629888535,0.20055067539215088
7,spine,8,thorax,0.019459100288249393,0.19171569161423277,0.22500551149668704,0.31347523457105103,0.31033226868326114,0.3970158313523244,0.4612322468835935,0.8191235571236061,0.058313243975800254,0.18790583468236535,0.04821557551622391,0.043393999338150024,0.29963362216949463
8,thorax,9,neck,0.012045810987993873,0.09092091545596698,0.14245633476709965,0.2682587973750182,0.27362649202750605,0.41632353240199554,0.5166502284218274,1.7131572308984233,0.08882747601622591,0.32463039436728447,0.1795147806406021,0.04046878218650818,0.17500710487365723
9,neck,10,head,0.005885138577677141,0.03827126898009129,0.04669078582429008,0.07261228717912062,0.0752064888951209,0.10468133538716276,0.1485242401194099,1.5328311768446987,0.027023022504793603,0.3593176985363394,0.010552002117037773,0.01294972375035286,0.06712806224822998
8,thorax,11,left_shoulder,0.007130222747212241,0.06827920147962674,0.10409925117258513,0.17348508941250262,0.19527552934876646,0.3304206943860123,0.41882676050457357,1.0258734088360228,0.0773860295982521,0.3962914854530437,0.1502338945865631,0.08210280537605286,0.025326848030090332
11,left_shoulder,12,left_elbow,0.012742604336900224,0.14660730283698803,0.2201684557054468,0.35884880182854706,0.36817553498721184,0.541605594390183,0.6194089994726544,1.6828482081734844,0.1062765441712293,0.28865726826449967,0.09839513897895813,0.040824536234140396,0.32700496912002563
12,left_elbow,13,left_wrist,0.00790538655959506,0.08351001029025702,0.14130680295098239,0.2743422661613677,0.2833306736877671,0.4477531342202759,0.5319963010973098,1.9165790439316246,0.10201095038840187,0.36004202813853764,0.17991022765636444,0.046239301562309265,0.14267611503601074
8,thorax,14,right_shoulder,0.0034043105645641687,0.06713353392040548,0.10948898194884503,0.18747459542288242,0.20286047561499573,0.34792050388221957,0.42622448553656667,0.9491560335223372,0.07605203611798513,0.37489824416227113,0.15101538598537445,0.09721585735678673,0.020775258541107178
14,right_shoulder,15,right_elbow,0.017781589699863307,0.14802737425673188,0.23032887681085945,0.3433132762174806,0.3481616564795564,0.47933669907711157,0.5550721634703938,1.8348607765368943,0.08368602565878679,0.24036542824669357,0.10773521661758423,0.05203554034233093,0.3076736330986023
15,right_elbow,16,right_wrist,0.0031493459196803393,0.07073551440737978,0.13295701278529967,0.24284254170160152,0.25610034161347267,0.4091228074661268,0.5629757911805192,1.945930532417417,0.09513616042791556,0.37148002157491355,0.15272557735443115,0.043773763813078403,0.14315229654312134
