group,samples,sample_fraction,c1_accuracy,e1_accuracy,e1_minus_c1
unanimous,1176,0.5023494233233661,0.6011904761904762,0.6011904761904762,0.0
member_disagreement,1165,0.4976505766766339,0.21545064377682405,0.2446351931330472,0.029184549356223166
