user_id,samples,c1_accuracy,e1_accuracy,e1_minus_c1,bootstrap_ci_low,bootstrap_ci_high,c1_only,e1_only
user1,149,0.3959731543624161,0.3959731543624161,0.0,-0.040268456375838924,0.03372483221476272,4,4
user16,186,0.5483870967741935,0.5053763440860215,-0.043010752688172005,-0.09139784946236562,0.005376344086021501,14,6
user18,178,0.3595505617977528,0.37640449438202245,0.01685393258426965,-0.011235955056179803,0.0449438202247191,2,5
user19,186,0.6182795698924731,0.6182795698924731,0.0,-0.037634408602150504,0.037634408602150504,6,6
user2,167,0.5389221556886228,0.5149700598802395,-0.02395209580838331,-0.07185628742514971,0.0239520958083832,10,6
user20,159,0.27672955974842767,0.3270440251572327,0.05031446540880502,0.0062893081761006275,0.09433962264150947,3,11
user21,133,0.24060150375939848,0.2706766917293233,0.03007518796992481,0.007518796992481203,0.06015037593984962,0,4
user22,191,0.3717277486910995,0.39790575916230364,0.02617801047120416,-0.010471204188481686,0.06282722513089006,4,9
user3,161,0.4472049689440994,0.453416149068323,0.006211180124223614,-0.031055900621118016,0.04347826086956519,4,5
user5,100,0.29,0.29,0.0,-0.05999999999999997,0.06,4,4
user6,201,0.3333333333333333,0.3880597014925373,0.05472636815920401,0.019900497512437776,0.09452736318407962,2,13
user7,184,0.3967391304347826,0.41304347826086957,0.016304347826086973,-0.027173913043478215,0.05978260869565216,6,9
user8,165,0.3575757575757576,0.37575757575757573,0.018181818181818132,-0.036363636363636376,0.07272727272727275,9,12
user9,181,0.44751381215469616,0.49171270718232046,0.04419889502762431,-0.0055248618784530246,0.09392265193370164,6,14
