representation,fold,member_seeds,selected_epochs_by_seed,outer_validation_users,outer_validation_trials,outer_accuracy,outer_macro_f1_40class,outer_weighted_f1,parameter_count_per_member,parameter_count_total,oof_assignment_sha256,outer_validation_labels_used_for_selection,preprocessing_fit_excludes_scope_validation_users,ensemble_weights_fitted_on_outer_validation,ensemble_rule
E1_c1_tcn_3seed_probability_ensemble,0,"[20260812, 20260912, 20261012]","{'20260812': 13, '20260912': 16, '20261012': 20}","['user18', 'user20', 'user21', 'user3', 'user9']",812,0.39039408866995073,0.2726958459592424,0.3536887634714328,172776,518328,2a0dde67ced6f40cf3a163f63d545f1e3cde3545b6ee0eb0291cf1c52c38ea76,False,True,False,equal_mean_softmax_probability
E1_c1_tcn_3seed_probability_ensemble,1,"[20260812, 20260912, 20261012]","{'20260812': 34, '20260912': 23, '20261012': 17}","['user1', 'user16', 'user2', 'user8']",667,0.4512743628185907,0.349947344621279,0.43442191677611514,172776,518328,2a0dde67ced6f40cf3a163f63d545f1e3cde3545b6ee0eb0291cf1c52c38ea76,False,True,False,equal_mean_softmax_probability
E1_c1_tcn_3seed_probability_ensemble,2,"[20260812, 20260912, 20261012]","{'20260812': 23, '20260912': 31, '20261012': 11}","['user19', 'user22', 'user5', 'user6', 'user7']",862,0.43387470997679817,0.3287240664636955,0.40570273754407815,172776,518328,2a0dde67ced6f40cf3a163f63d545f1e3cde3545b6ee0eb0291cf1c52c38ea76,False,True,False,equal_mean_softmax_probability
