model,samples,accuracy,macro_f1_40class,weighted_f1
C1-TCN-single-seed,2341,0.4092268261426741,0.300834981534819,0.38308524439571284
E1-C1-3seed-ensemble,2341,0.42375053395984624,0.31560579359888924,0.3975668621067564
