user_id,sample_count,accuracy,macro_f1
user1,145,0.4206896551724138,0.21971322018860215
user16,186,0.6075268817204301,0.4658415960741812
user18,178,0.5393258426966292,0.40220847205991517
user19,186,0.6451612903225806,0.41040357790357795
user2,162,0.6481481481481481,0.3448995549112272
user20,159,0.5723270440251572,0.3539603069788828
user21,133,0.5338345864661654,0.30684137929493965
user22,191,0.5863874345549738,0.4113323522396749
user3,149,0.5503355704697986,0.31230507925167367
user5,100,0.61,0.22397186147186146
user6,201,0.48258706467661694,0.30381408134411564
user7,184,0.5054347826086957,0.36879991778247595
user8,165,0.5636363636363636,0.43851505950190156
user9,181,0.6464088397790055,0.38352005012531326
