checkpoint,epoch,stage,accuracy,macro_f1,weighted_f1,target16_macro_f1,target16_zero_f1_count,zero_f1_count,rescued,harmed,net_rescue,val_loss,validation_seconds,checkpoint_bytes
best_target16_macro_f1.pt,8,finetune,0.4610169491525424,0.3561570510906392,0.4438480059487825,0.2304794703203945,3,4,18,8,10,2.1900533780910396,209.2804838000011,54544726
best_overall_macro_f1.pt,8,finetune,0.4610169491525424,0.3561570510906392,0.4438480059487825,0.2304794703203945,3,4,18,8,10,2.1900533780910396,209.2804838000011,54544479
best_accuracy.pt,12,finetune,0.46440677966101696,0.3550224848538142,0.44498885405503613,0.22914317519000027,4,5,24,12,12,2.2514838854851345,208.8946176999998,54543015
last_complete.pt,13,finetune,0.45932203389830506,0.3467005494702993,0.4384589456149962,0.21251681315829296,4,5,22,13,9,2.2804440506288026,209.11499719999847,54543015
