epoch,train_loss,val_loss,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,top3_accuracy,top5_accuracy,zero_f1_class_count,zero_recall_class_count,never_predicted_class_count,number_of_predicted_classes,epoch_time_seconds,gpu_peak_allocated_mb,gpu_peak_reserved_mb,learning_rate
1,3.0625158901872305,2.8545813608977757,0.2186440677966101,0.0589109777415037,0.0964773745519713,0.0472731116427561,0.1095338257808606,0.4135593220338983,0.511864406779661,34,34,30,10,364.48983629999975,3374.42138671875,4848.0,0.0003
2,2.4094042416276604,2.5324347285901085,0.2949152542372881,0.1005983995487101,0.1838296626447734,0.1212838169979649,0.2113513114586822,0.4847457627118644,0.5949152542372881,28,28,23,17,325.59733300000016,3374.42138671875,4848.0,0.0002991782843052
3,2.032964689156105,2.368774957171941,0.3677966101694915,0.2407115447010502,0.253534012235033,0.2137606620203251,0.3144629289322463,0.535593220338983,0.6305084745762712,17,17,14,26,315.68561929999987,3374.42138671875,4848.0,0.00029672214011
4,1.7219350749048694,2.6006505125660007,0.335593220338983,0.2550542721355284,0.2452481975990049,0.2106361551904508,0.2789798000157059,0.5254237288135594,0.6305084745762712,16,16,9,31,315.32477470000003,3374.42138671875,4848.0,0.0002926584774442
5,1.476699779362514,2.2433376732519115,0.4288135593220339,0.3036889095240344,0.3256002238144087,0.2976786786520258,0.3881203808826561,0.6,0.7,11,11,7,33,332.5195472999999,3374.42138671875,4848.0,0.0002870318186463
6,1.2599533042003368,2.247227469945358,0.3864406779661017,0.3114267103969478,0.2744084712279692,0.2564435219371842,0.3670905814287416,0.5864406779661017,0.7016949152542373,11,11,6,34,326.09907079999994,3374.42138671875,4848.0,0.0002799038105676
7,1.0671136356633284,2.271731686996201,0.4016949152542373,0.3057959677410478,0.3033051453292211,0.2787000713919427,0.3877865142759583,0.6152542372881356,0.7440677966101695,8,8,4,36,327.1622865999998,3374.42138671875,4848.0,0.0002713525491562
8,0.9318548385439248,2.205297355328576,0.4440677966101695,0.3706179404538954,0.3610328945987161,0.3393422099842394,0.4273646651210759,0.6423728813559322,0.7338983050847457,5,5,3,37,329.5553586999995,3374.42138671875,4848.0,0.0002614717238216
9,0.7959651484571654,2.306281265970004,0.4508474576271186,0.3706193377131794,0.348213648366875,0.3298022207134509,0.4203764896677186,0.6440677966101694,0.7203389830508474,8,8,3,37,329.2364022999991,3374.42138671875,4848.0,0.0002503695909538
10,0.6761686767997412,2.42844982025987,0.4440677966101695,0.3620842824089,0.3550169705585985,0.3313321425083977,0.4334884348736044,0.6271186440677966,0.7305084745762712,6,6,2,38,319.8097449999996,3374.42138671875,4848.0,0.0002381677878438
11,0.5984140861650993,2.5565666150238555,0.4338983050847457,0.353114486088624,0.3414976566511797,0.3230799780905226,0.4223266344557045,0.635593220338983,0.7254237288135593,7,7,2,38,328.0320700000002,3374.42138671875,4848.0,0.000225
12,0.4712361334726728,2.7905944876751656,0.3983050847457627,0.3124366123642439,0.3146814131553229,0.2850220520331726,0.3791595717359373,0.6101694915254238,0.7203389830508474,8,8,1,39,323.4481996000004,3374.42138671875,4848.0,0.0002110104964613
13,0.4276498645030219,2.695306627023018,0.4016949152542373,0.3276187400966812,0.3167487770585502,0.28920756814652,0.3914843196759204,0.6237288135593221,0.7406779661016949,9,9,1,39,326.83557550000023,3374.42138671875,4848.0,0.0001963525491562
14,0.3518437095243355,2.7173076876139235,0.4338983050847457,0.3677538141087645,0.3425357904878786,0.3209669583867734,0.4128230908459332,0.6406779661016949,0.7440677966101695,7,7,3,37,327.6577619,3374.42138671875,4848.0,0.0001811867536226
15,0.2873522042714316,3.081480012101642,0.4254237288135593,0.3574478063216453,0.3470462724618923,0.3156551542979104,0.4134916642680905,0.6186440677966102,0.7237288135593221,5,5,1,39,337.9201828999994,3374.42138671875,4848.0,0.0001656792694901
16,0.2590701685897235,3.180831984342155,0.4305084745762711,0.3324102062623909,0.3416348202465976,0.309971288765892,0.4120728626292387,0.6237288135593221,0.7237288135593221,8,8,3,37,333.1307428,3374.42138671875,4848.0,0.00015
17,0.2165092486245878,3.28864799354036,0.4288135593220339,0.3535483635701742,0.3352409672555554,0.3164326645592243,0.4139374471323345,0.6305084745762712,0.7237288135593221,9,9,3,37,294.73280440000053,3374.42138671875,4848.0,0.0001343207305098
18,0.1999514006848993,3.262117099559913,0.4135593220338983,0.3399179707914806,0.3257220698025972,0.303663816216623,0.4031394138545024,0.6644067796610169,0.7288135593220338,5,5,0,40,8142.6214004,3374.42138671875,4848.0,0.0001188132463773
19,0.1905133415398926,3.3826836454666265,0.4101694915254237,0.3420689764347852,0.3340327235108434,0.3148362412038669,0.3989951713850414,0.6305084745762712,0.7288135593220338,6,6,2,38,313.66128970000136,3374.42138671875,4848.0,0.0001036474508437
