class_id,class_name,precision,recall,f1,support
0,Wash_face,0.5135135135135135,0.59375,0.5507246376811594,32
1,Brush_teeth,0.5625,0.25,0.34615384615384615,36
2,Comb_hair,0.34177215189873417,0.6,0.43548387096774194,45
3,Take_off_clothes,0.3181818181818182,0.23333333333333334,0.2692307692307692,30
4,Wipe_hands,0.5283018867924528,0.509090909090909,0.5185185185185185,55
5,Put_on_clothes,0.45714285714285713,0.8205128205128205,0.5871559633027523,39
6,Drink_water,0.5407407407407407,0.6822429906542056,0.6033057851239669,107
7,Eat_food,0.5747126436781609,0.4098360655737705,0.4784688995215311,122
8,Take_and_use_tableware,0.35185185185185186,0.23170731707317074,0.27941176470588236,82
9,Pour_drinks,0.6410256410256411,0.6578947368421053,0.6493506493506493,114
10,Stir_drinks,0.5922330097087378,0.61,0.6009852216748769,100
11,Peel_fruits,0.5,0.6477272727272727,0.5643564356435643,88
12,Sweep_the_floor,0.4657534246575342,0.68,0.5528455284552846,50
13,Mop_the_floor,0.5869565217391305,0.5510204081632653,0.5684210526315789,49
14,Wipe_bowls,0.3018867924528302,0.5517241379310345,0.3902439024390244,29
15,Wipe_windows_and_tables,0.6875,0.5116279069767442,0.5866666666666667,43
16,Fold_clothes,0.15384615384615385,0.16666666666666666,0.16,12
17,Tap_the_keyboard,0.48717948717948717,0.5507246376811594,0.5170068027210885,69
18,Write,0.23809523809523808,0.18518518518518517,0.20833333333333334,27
19,Make_a_phone_call,0.45,0.2571428571428571,0.32727272727272727,35
20,Check_the_time,0.5675675675675675,0.5121951219512195,0.5384615384615384,82
21,Read_documents,0.3125,0.26785714285714285,0.28846153846153844,56
22,Turn_pages,0.32075471698113206,0.34,0.3300970873786408,50
23,Listen_to_music_with_headphones,0.5526315789473685,0.7241379310344828,0.6268656716417911,58
24,Use_a_mobile_phone,0.3,0.28125,0.2903225806451613,32
25,Watch_TV,0.0,0.0,0.0,6
26,Play_games,0.13157894736842105,0.17857142857142858,0.15151515151515152,28
27,Take_a_selfie,0.5135135135135135,0.7037037037037037,0.59375,27
28,Jog_in_place,0.9285714285714286,1.0,0.9629629629629629,26
29,Do_squats,0.8266666666666667,1.0,0.9051094890510949,62
30,Do_jumping_jacks,0.8,0.8421052631578947,0.8205128205128205,38
31,Do_stretching_exercises,0.684931506849315,0.746268656716418,0.7142857142857143,67
32,Stand_up,0.36,0.15,0.21176470588235294,60
33,Lie_down,0.782608695652174,0.6666666666666666,0.72,27
34,Sit_down,0.5217391304347826,0.6260869565217392,0.5691699604743083,115
35,Do_lunges,0.7222222222222222,0.6190476190476191,0.6666666666666666,21
36,Walk,0.9461538461538461,0.9461538461538461,0.9461538461538461,260
37,Take_medicine,0.3181818181818182,0.13725490196078433,0.1917808219178082,51
38,Massage_oneself,0.5555555555555556,0.3,0.38961038961038963,50
39,Take_body_temperature,0.3,0.075,0.12,40
