experiment,comparison_role,train_samples,val_samples,best_epoch,epochs_completed,val_accuracy,val_macro_f1,val_weighted_f1,val_loss,parameter_count,checkpoint_size_mb
Depth-only pose ROI common subset,strict baseline,595,148,6,12,0.3783783783783784,0.25967727805963103,0.33000088606706257,2.1348532599371834,1262764,4.950691223144531
Depth+IR dual-stem pose ROI,V2 normal paired,595,148,10,16,0.40540540540540543,0.3633351063475287,0.3864328588707471,2.9802235526007577,1263468,4.9533233642578125
Depth+IR with IR masked,same-checkpoint diagnostic,595,148,10,16,0.27702702702702703,0.17810008223572119,0.22463903067943752,3.8477600458505994,1263468,4.9533233642578125
Depth+IR with IR sample-shuffled,same-checkpoint diagnostic,595,148,10,16,0.25,0.24308815562685532,0.2440681568291182,3.7170359637286214,1263468,4.9533233642578125
Old E1 pose ROI,context only; non-equivalent 596/148,596,148,8,14,0.3716216216216216,0.3113939652996185,0.36520374734660443,2.479342537957269,1262764,4.950691223144531
