alpha,accuracy,macro_f1,weighted_f1,target16_macro_f1,gated_target_accuracy,gated_target_macro_f1,rescued,harmed,net_rescue,correct_count,gated_samples,gated_true_target_samples,gated_external_samples
0.0,0.46271186440677964,0.3928269078425568,0.4630450773896711,0.25781413167855205,0.3128491620111732,0.32123049016903316,0,0,0,273,222,179,43
0.25,0.4661016949152542,0.39872539060775347,0.46831237283674254,0.2725603385915437,0.3240223463687151,0.34782130412330453,7,5,2,275,222,179,43
0.5,0.4711864406779661,0.3934008950529666,0.47091525923106137,0.25924909970457655,0.3407821229050279,0.32310738704227815,15,10,5,278,222,179,43
0.75,0.47627118644067795,0.3959092537934897,0.47680851785843675,0.26551999655588426,0.3575418994413408,0.3283081737744209,21,13,8,281,222,179,43
1.0,0.48135593220338985,0.4017061153353632,0.48208796953130395,0.28001215041056793,0.3743016759776536,0.34280529228452905,25,14,11,284,222,179,43
