depth_representation,run_id,best_macro_epoch,accuracy,macro_f1,small_action_macro_f1,val_loss,train_accuracy,generalization_gap,weighted_f1,top3_accuracy,top5_accuracy,zero_f1_class_count,predicted_class_count,worst_user_accuracy,worst_user_macro_f1,high_confidence_errors_ge_0_8,accuracy_eligible
raw,stage8_pilot_raw_e8,8,0.25254237288135595,0.09754148438576675,0.04836309523809523,2.820324041479725,0.2849137931034483,0.0323714202220923,0.2026917086329585,0.4305084745762711,0.5372881355932203,23,20,0.17164179104477612,0.05228070175438597,7,False
relative,stage8_pilot_relative_e8,6,0.2745762711864407,0.12065019184156751,0.059611806644918476,2.772134253938319,0.2810344827586207,0.00645821157218,0.2243766747234633,0.4406779661016949,0.5525423728813559,23,18,0.22137404580152673,0.08646212121212121,1,True
raw+relative,stage8_pilot_raw_relative_e8,7,0.2627118644067797,0.10171192117037209,0.02584703512061524,2.7647279777769316,0.2801724137931034,0.0174605493863237,0.2168749869335519,0.411864406779661,0.5254237288135594,27,17,0.22900763358778625,0.05845156369183828,0,True
