checkpoint,epoch,stage,accuracy,macro_f1,weighted_f1,target16_macro_f1,target16_zero_f1_count,zero_f1_count,val_loss
best_target16_macro_f1.pt,11,finetune,0.46271186440677964,0.34979111222378423,0.4423245596359841,0.22563268365548678,5,6,2.5197296597000403
best_overall_macro_f1.pt,11,finetune,0.46271186440677964,0.34979111222378423,0.4423245596359841,0.22563268365548678,5,6,2.5197296597000403
best_accuracy.pt,15,finetune,0.4661016949152542,0.34860101814555683,0.4440708917792719,0.22033201299505648,6,7,2.5900567954202907
last_complete.pt,16,finetune,0.45254237288135596,0.3417597564793405,0.4302681190164743,0.19403819144089615,6,7,2.6148437384407477
