bucket,sample_count,accuracy,macro_f1,mean_num_clips
<=13,555,0.5405405405405406,0.36625517342309394,1.0
14-32,1013,0.5873642645607108,0.4813782729777791,1.0
33-64,596,0.575503355704698,0.46048248915094536,2.0
>64,156,0.47435897435897434,0.3040648530589108,3.4166666666666665
