model,checkpoint_epoch,accuracy,macro_f1,weighted_f1,target16_macro_f1,hand_head7_macro_f1,table7_macro_f1,screen2_macro_f1,zero_f1_count,target16_zero_f1_count,rescued,harmed,net_rescue,val_loss,ece,validation_seconds,peak_allocated_mb,model_parameter_bytes
B0_epoch8,8,0.4440677966101695,0.3393422099842394,0.4273646651210759,0.18827014411879822,0.20954627574790066,0.18351840149258222,0.13043478260869565,5,4,0,0,0,2.205282328122223,0.16729579702550507,61.50734210000155,0.0,5125116
M1_mobilenet,11,0.46271186440677964,0.34979111222378423,0.4423245596359841,0.22563268365548678,0.21433494820591598,0.26568261443519664,0.125,6,5,22,11,11,2.519729648133721,0.18750377669571938,253.18791870000132,3408.24462890625,18606788
R1_resnet18,8,0.4610169491525424,0.3561570510906392,0.4438480059487825,0.2304794703203945,0.21461110852014478,0.24077053792647124,0.25,4,3,18,8,10,2.1900533807469613,0.1599740038279046,209.2804838000011,3475.34521484375,59557956
