experiment,train_samples,validation_samples,best_epoch,epochs_completed,accuracy,macro_f1,weighted_f1,validation_loss,zero_f1_classes,gpu_peak_allocated_mb,gpu_peak_reserved_mb,mean_epoch_seconds,total_epoch_seconds,checkpoint_size_bytes
E0 global-only,596,148,16,22,0.30405405405405406,0.2624617806435988,0.29493805743805745,4.050371737093539,2,675.97021484375,1014.0,24.88042084090921,547.3692585000026,5191176
E1 pose-ROI,596,148,8,14,0.3716216216216216,0.3113939652996185,0.36520374734660443,2.479342537957269,2,2590.33984375,3908.0,42.90300550714265,600.6420770999971,5191176
