scope,view,mobilenet_mean_weight,resnet18_mean_weight,delta_resnet_minus_mobilenet
overall,global_context,0.5720268636953377,0.8345922902136872,0.26256542651834947
overall,left_interaction,0.16115446013868476,0.09155591929135741,-0.06959854084732735
overall,right_interaction,0.19517745115185328,0.043036425214008765,-0.1521410259378445
overall,hand_head_union,0.016622109943139007,0.0016206292306584049,-0.015001480712480603
overall,two_hand_table_context,0.05501912527033257,0.029194749201324546,-0.025824376069008025
Take_and_use_tableware,global_context,0.24540767827503013,0.4284323136944475,0.18302463541941738
Take_and_use_tableware,left_interaction,0.32287264653303327,0.23735149125348123,-0.08552115527955204
Take_and_use_tableware,right_interaction,0.2297000336329344,0.1970453830340273,-0.0326546505989071
Take_and_use_tableware,hand_head_union,0.040402582795162,6.8231050411276715e-06,-0.040395759690120873
Take_and_use_tableware,two_hand_table_context,0.16161705814265764,0.1371639906960468,-0.024453067446610854
Write,global_context,0.9713181275861427,0.9999986030743364,0.028680475488193746
Write,left_interaction,0.012381484425365914,5.09846723061484e-07,-0.012380974578642854
Write,right_interaction,0.00381279009502265,8.592835013309537e-07,-0.0038119308115213187
Write,hand_head_union,0.0,0.0,0.0
Write,two_hand_table_context,0.012487630325801496,6.129577872066922e-08,-0.012487569030022776
Make_a_phone_call,global_context,0.7606979575949766,0.9925286939709216,0.23183073637594498
Make_a_phone_call,left_interaction,0.1776560405012622,0.005450641220406011,-0.1722053992808562
Make_a_phone_call,right_interaction,0.02149096095251702,1.8865567452380074e-05,-0.02147209538506464
Make_a_phone_call,hand_head_union,0.001345700547994078,1.5172565242125444e-06,-0.0013441832914698655
Make_a_phone_call,two_hand_table_context,0.03880933211169586,0.0020002832727713015,-0.03680904883892456
Watch_TV,global_context,0.515173476233201,1.0,0.484826523766799
Watch_TV,left_interaction,0.0016714531692239205,2.677272405040974e-10,-0.00167145290149668
Watch_TV,right_interaction,0.48315036990401145,3.2613559847612494e-11,-0.48315036987139787
Watch_TV,hand_head_union,0.0,0.0,0.0
Watch_TV,two_hand_table_context,4.683622354801342e-06,4.2614401965250524e-18,-4.683622354797081e-06
Take_medicine,global_context,0.5832741780101991,0.8250006253357228,0.24172644732552373
Take_medicine,left_interaction,0.09044673257833358,0.11736564140942272,0.026918908831089147
Take_medicine,right_interaction,0.2775315188755359,0.005365299496338942,-0.27216621937919694
Take_medicine,hand_head_union,0.01569953487409484,0.0007480576338024852,-0.014951477240292353
Take_medicine,two_hand_table_context,0.0330480399986726,0.05152039140865944,0.01847235140998684
Use_a_mobile_phone,global_context,0.6393133768453751,0.9998781053683696,0.3605647285229945
Use_a_mobile_phone,left_interaction,0.11601669456658324,9.797223838063285e-05,-0.1159187223282026
Use_a_mobile_phone,right_interaction,0.12709813551827068,7.411076864357892e-06,-0.12709072444140632
Use_a_mobile_phone,hand_head_union,0.030640130525543575,7.319784005112494e-11,-0.030640130452345735
Use_a_mobile_phone,two_hand_table_context,0.08693168529767772,1.6507334999890454e-05,-0.08691517796267784
Wipe_bowls,global_context,3.970011244230439e-05,1.3577081558020021e-06,-3.834240428650239e-05
Wipe_bowls,left_interaction,0.40913858071102216,0.5188841086193823,0.10974552790836012
Wipe_bowls,right_interaction,0.4267149912133658,0.05043662200299002,-0.3762783692103758
Wipe_bowls,hand_head_union,0.0,0.0,0.0
Wipe_bowls,two_hand_table_context,0.16410671373063504,0.4306779109510266,0.2665711972203916
Take_body_temperature,global_context,0.7196122396492804,0.998619381745584,0.2790071420963035
Take_body_temperature,left_interaction,0.12498116509985283,0.0005790788553598256,-0.124402086244493
Take_body_temperature,right_interaction,0.09252303249232971,1.7580211887636713e-06,-0.09252127447114095
Take_body_temperature,hand_head_union,1.5792406177044742e-06,1.607665041348298e-19,-1.5792406177043135e-06
Take_body_temperature,two_hand_table_context,0.06288199865766238,0.0007997883033095034,-0.06208221035435287
Peel_fruits,global_context,0.19089041507189602,0.33323327720194673,0.1423428621300507
Peel_fruits,left_interaction,0.31504245538716025,0.44252064620120346,0.1274781908140432
Peel_fruits,right_interaction,0.3429203103267745,0.07964418718486134,-0.2632761231419132
Peel_fruits,hand_head_union,0.0003555665128075757,6.525882349618964e-09,-0.00035555998692522603
Peel_fruits,two_hand_table_context,0.15079129980510306,0.14460190250855268,-0.006189397296550381
Stir_drinks,global_context,0.16688209256301162,0.2499052389240642,0.08302314636105257
Stir_drinks,left_interaction,0.24719800571625622,0.5555698271577059,0.30837182144144965
Stir_drinks,right_interaction,0.5394447468586825,0.13716388750722042,-0.4022808593514621
Stir_drinks,hand_head_union,0.0,0.0,0.0
Stir_drinks,two_hand_table_context,0.046475174306457284,0.05736104582128812,0.010885871514830836
Play_games,global_context,0.7632915102470926,1.0,0.23670848975290737
Play_games,left_interaction,0.06839894007486953,1.855868244742653e-10,-0.06839893988928271
Play_games,right_interaction,0.12594483507592505,9.865144169591126e-10,-0.12594483408941062
Play_games,hand_head_union,0.0028423477732946005,3.860866476611952e-11,-0.0028423477346859356
Play_games,two_hand_table_context,0.039522377930486324,3.897894326709217e-09,-0.039522374032592
Take_a_selfie,global_context,0.49479937429244847,0.9995575327060898,0.5047581584136414
Take_a_selfie,left_interaction,0.16696664007231157,0.0002513212678315225,-0.16671531880448004
Take_a_selfie,right_interaction,0.2926917371518946,3.099490418192856e-05,-0.2926607422477127
Take_a_selfie,hand_head_union,0.014456969171522869,3.641473454166468e-07,-0.014456605024177453
Take_a_selfie,two_hand_table_context,0.031085290851383774,0.00015981066558684302,-0.03092548018579693
Turn_pages,global_context,0.8167149045334998,0.9999462375964858,0.183231333062986
Turn_pages,left_interaction,0.0921267296978802,2.5738480377224263e-05,-0.09210099121750298
Turn_pages,right_interaction,0.06349701128745969,4.426950091822335e-06,-0.06349258433736786
Turn_pages,hand_head_union,4.6300620491069455e-05,3.490446027447953e-12,-4.6300617000623425e-05
Turn_pages,two_hand_table_context,0.027615083138029357,2.359329997251666e-05,-0.02759148983805684
Read_documents,global_context,0.8195638595389351,0.9999871607179994,0.18042330117906435
Read_documents,left_interaction,0.08289265295988242,3.176558145505985e-06,-0.08288947640173691
Read_documents,right_interaction,0.03888047559392731,1.3351264572035514e-06,-0.038879140467470104
