class_id,action_name,train_trials,train_users,status,validation_support,full_recall,stream_only__ir:global__recall,stream_only__ir:global__delta,stream_only__ir:person_context__recall,stream_only__ir:person_context__delta,stream_only__ir:left_hand_object__recall,stream_only__ir:left_hand_object__delta,stream_only__ir:right_hand_object__recall,stream_only__ir:right_hand_object__delta,stream_only__depth:global__recall,stream_only__depth:global__delta,stream_only__depth:person_context__recall,stream_only__depth:person_context__delta,stream_only__depth:left_hand_object__recall,stream_only__depth:left_hand_object__delta,stream_only__depth:right_hand_object__recall,stream_only__depth:right_hand_object__delta,stream_drop__ir:global__recall,stream_drop__ir:global__delta,stream_drop__ir:person_context__recall,stream_drop__ir:person_context__delta,stream_drop__ir:left_hand_object__recall,stream_drop__ir:left_hand_object__delta,stream_drop__ir:right_hand_object__recall,stream_drop__ir:right_hand_object__delta,stream_drop__depth:global__recall,stream_drop__depth:global__delta,stream_drop__depth:person_context__recall,stream_drop__depth:person_context__delta,stream_drop__depth:left_hand_object__recall,stream_drop__depth:left_hand_object__delta,stream_drop__depth:right_hand_object__recall,stream_drop__depth:right_hand_object__delta,modality_only__ir__recall,modality_only__ir__delta,modality_only__depth__recall,modality_only__depth__delta,modality_drop__ir__recall,modality_drop__ir__delta,modality_drop__depth__recall,modality_drop__depth__delta,view_only__global__recall,view_only__global__delta,view_only__person_context__recall,view_only__person_context__delta,view_only__left_hand_object__recall,view_only__left_hand_object__delta,view_only__right_hand_object__recall,view_only__right_hand_object__delta,view_drop__global__recall,view_drop__global__delta,view_drop__person_context__recall,view_drop__person_context__delta,view_drop__left_hand_object__recall,view_drop__left_hand_object__delta,view_drop__right_hand_object__recall,view_drop__right_hand_object__delta
25,Watch_TV,3,1,deferred_dataset_coverage,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Play_games,26,3,deferred_dataset_coverage,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Take_a_selfie,24,8,observed,3,1.0,0.3333333333333333,-0.6666666666666667,1.0,0.0,0.6666666666666666,-0.33333333333333337,0.6666666666666666,-0.33333333333333337,0.3333333333333333,-0.6666666666666667,0.6666666666666666,-0.33333333333333337,1.0,0.0,0.6666666666666666,-0.33333333333333337,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,-0.33333333333333337,0.6666666666666666,-0.33333333333333337,1.0,0.0,0.3333333333333333,-0.6666666666666667,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
28,Jog_in_place,20,6,observed,6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8333333333333334,-0.16666666666666663,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
29,Do_squats,56,10,observed,6,0.6666666666666666,0.6666666666666666,0.0,0.5,-0.16666666666666663,0.5,-0.16666666666666663,0.6666666666666666,0.0,0.8333333333333334,0.16666666666666674,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.8333333333333334,0.16666666666666674,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
30,Do_jumping_jacks,32,10,observed,6,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
31,Do_stretching_exercises,61,9,observed,6,0.3333333333333333,0.5,0.16666666666666669,0.16666666666666666,-0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.5,0.16666666666666669,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.5,0.16666666666666669,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
32,Stand_up,54,11,observed,6,0.5,0.5,0.0,0.5,0.0,0.16666666666666666,-0.33333333333333337,0.5,0.0,0.3333333333333333,-0.16666666666666669,0.3333333333333333,-0.16666666666666669,0.6666666666666666,0.16666666666666663,0.5,0.0,0.6666666666666666,0.16666666666666663,0.6666666666666666,0.16666666666666663,0.6666666666666666,0.16666666666666663,0.6666666666666666,0.16666666666666663,0.5,0.0,0.5,0.0,0.5,0.0,0.6666666666666666,0.16666666666666663,0.5,0.0,0.6666666666666666,0.16666666666666663,0.6666666666666666,0.16666666666666663,0.5,0.0,0.6666666666666666,0.16666666666666663,0.6666666666666666,0.16666666666666663,0.3333333333333333,-0.16666666666666669,0.5,0.0,0.5,0.0,0.5,0.0,0.6666666666666666,0.16666666666666663,0.6666666666666666,0.16666666666666663
33,Lie_down,18,4,deferred_dataset_coverage,9,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
34,Sit_down,85,10,observed,30,0.9333333333333333,0.8666666666666667,-0.06666666666666665,0.8,-0.1333333333333333,0.9,-0.033333333333333326,0.9,-0.033333333333333326,0.9333333333333333,0.0,0.8666666666666667,-0.06666666666666665,0.8333333333333334,-0.09999999999999998,0.8333333333333334,-0.09999999999999998,0.9333333333333333,0.0,0.9333333333333333,0.0,0.9333333333333333,0.0,0.9333333333333333,0.0,0.9,-0.033333333333333326,0.9333333333333333,0.0,0.9333333333333333,0.0,0.9,-0.033333333333333326,0.8666666666666667,-0.06666666666666665,0.9333333333333333,0.0,0.9333333333333333,0.0,0.8666666666666667,-0.06666666666666665,0.9333333333333333,0.0,0.8333333333333334,-0.09999999999999998,0.9,-0.033333333333333326,0.9,-0.033333333333333326,0.9,-0.033333333333333326,0.9333333333333333,0.0,0.9333333333333333,0.0,0.9333333333333333,0.0
35,Do_lunges,18,6,observed,3,0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.33333333333333337,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.33333333333333337,1.0,0.33333333333333337,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
36,Walk,217,11,observed,43,0.9767441860465116,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9534883720930233,-0.023255813953488302,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0,0.9767441860465116,0.0
37,Take_medicine,45,10,observed,6,0.5,0.6666666666666666,0.16666666666666663,0.6666666666666666,0.16666666666666663,0.5,0.0,0.5,0.0,0.5,0.0,0.6666666666666666,0.16666666666666663,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.6666666666666666,0.16666666666666663,0.6666666666666666,0.16666666666666663,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0
38,Massage_oneself,47,9,observed,3,0.6666666666666666,0.0,-0.6666666666666666,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.0,-0.6666666666666666,0.3333333333333333,-0.3333333333333333,1.0,0.33333333333333337,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,-0.3333333333333333,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.0,0.0,-0.6666666666666666,0.3333333333333333,-0.3333333333333333,1.0,0.33333333333333337,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.3333333333333333,-0.3333333333333333,0.6666666666666666,0.0
39,Take_body_temperature,32,8,observed,8,0.5,0.375,-0.125,0.375,-0.125,0.75,0.25,0.5,0.0,0.5,0.0,0.5,0.0,0.75,0.25,0.5,0.0,0.5,0.0,0.625,0.125,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.625,0.125,0.5,0.0,0.5,0.0,0.625,0.125,0.5,0.0,0.375,-0.125,0.875,0.375,0.625,0.125,0.5,0.0,0.75,0.25,0.5,0.0,0.5,0.0
