class_id,action_name,frames,person_success,left_wrist_success,right_wrist_success,at_least_one_wrist_success,upper_body_fallback,left_hand_fallback,right_hand_fallback,upper_body_area_ratio,left_hand_area_ratio,right_hand_area_ratio
-1,ALL,84906,0.9723812215862248,0.9547146255859421,0.943667114220432,0.9623937059807316,0.035545191152568725,0.03141120768850258,0.03762984948060208,0.10212972145053308,0.02203352472720553,0.02207797538339532
0,Wash_face,1111,0.9990999099909992,0.9981998199819982,0.9873987398739874,0.9981998199819982,0.0018001800180018,0.0,0.0,0.17123963009871201,0.04703782146090757,0.0472317854567866
1,Brush_teeth,1081,1.0,0.996299722479186,0.9398704902867716,0.996299722479186,0.0018501387604070306,0.0,0.013876040703052728,0.1865505487912237,0.0323396195708382,0.032533680467033255
2,Comb_hair,1301,0.9777094542659492,0.9761721752498078,0.9415833973866256,0.9761721752498078,0.023059185242121444,0.009992313604919293,0.035357417371252885,0.10180865458393903,0.01684875297234848,0.016850959621283936
3,Take_off_clothes,1231,0.9983753046303818,0.951259138911454,0.9520714865962632,0.9878147847278635,0.0016246953696181965,0.017059301380991064,0.01380991064175467,0.09060510864691652,0.018633771351834413,0.018745615969432455
4,Wipe_hands,1626,0.9981549815498156,0.9969249692496924,0.993849938499385,0.9969249692496924,0.003075030750307503,0.0,0.0,0.16678908832948586,0.03118645213315261,0.0312762790775387
5,Put_on_clothes,3311,0.9697976442162488,0.9417094533373604,0.8731501057082452,0.9519782543038356,0.03835699184536394,0.015403201449713078,0.053458169737239505,0.155755424708335,0.025508336216544355,0.025720934859217923
6,Drink_water,3279,0.9862763037511436,0.9856663616956388,0.9813967673071058,0.9862763037511436,0.013723696248856358,0.005794449527294907,0.006709362610551998,0.08524469220990923,0.015344160900642393,0.015540677066818538
7,Eat_food,3856,0.996109958506224,0.996109958506224,0.9940352697095436,0.996109958506224,0.0038900414937759337,0.0,0.0,0.07585214538049509,0.01314124693906638,0.013171942238947106
8,Take_and_use_tableware,2804,0.989657631954351,0.9885877318116976,0.9579172610556348,0.9885877318116976,0.010342368045649072,0.005706134094151213,0.028887303851640515,0.11314621023015357,0.019766091479363184,0.019942334378815752
9,Pour_drinks,3997,0.989992494370778,0.989992494370778,0.9737302977232924,0.989992494370778,0.010007505629221916,0.0,0.005003752814610958,0.09405504861249607,0.017623314325932355,0.017814748928655467
10,Stir_drinks,2747,0.995995631598107,0.995995631598107,0.9949035311248636,0.995995631598107,0.004004368401892974,0.0,0.0,0.11005024684638512,0.01831733100699389,0.018312958275616537
11,Peel_fruits,3966,0.9798285426122038,0.9798285426122038,0.978819969742814,0.9798285426122038,0.020171457387796268,0.012355017650025214,0.013111447302067574,0.08908109315795484,0.017087514188649736,0.016999045231924838
12,Sweep_the_floor,3812,0.984784889821616,0.965897166841553,0.9651101783840504,0.9829485834207764,0.015215110178384051,0.024134312696747113,0.025183630640083946,0.09487555128329699,0.018564301454007687,0.018569638266580927
13,Mop_the_floor,2553,0.9972581276929104,0.9858989424206815,0.982373678025852,0.9921660791226008,0.0035252643948296123,0.0,0.005483744614179397,0.09484237103288519,0.016583152019039024,0.01679709522200247
14,Wipe_bowls,1441,0.9805690492713394,0.9722414989590562,0.9770992366412212,0.9805690492713394,0.01943095072866065,0.016655100624566273,0.013879250520471894,0.12836887553530713,0.022406583151661795,0.022412938832988515
15,Wipe_windows_and_tables,1973,0.9609731373542828,0.9204257475924988,0.9082615306639636,0.9472883933096808,0.039533705017739486,0.05828687278256462,0.08008109477952356,0.10187825176900737,0.025031633014251178,0.02562643324005622
16,Fold_clothes,1148,0.9991289198606272,0.9939024390243902,0.9973867595818816,0.9991289198606272,0.0008710801393728223,0.0,0.0,0.058685917524095195,0.014382968225130221,0.014411084470744748
17,Tap_the_keyboard,3369,0.9260908281389136,0.9260908281389136,0.9240130602552686,0.9260908281389136,0.07390917186108638,0.060848916592460674,0.060848916592460674,0.07287135071340373,0.026058673118062828,0.026067037667507464
18,Write,1169,0.9264328485885372,0.9264328485885372,0.913601368691189,0.9264328485885372,0.07356715141146279,0.041916167664670656,0.041916167664670656,0.0654292130465177,0.0219015601968235,0.02193611679268862
19,Make_a_phone_call,1451,0.9972432804962096,0.9972432804962096,0.9965541006202618,0.9972432804962096,0.0027567195037904893,0.0,0.0,0.04262722376541464,0.012893417697376747,0.012894096537181873
20,Check_the_time,1451,0.9703652653342524,0.9703652653342524,0.9703652653342524,0.9703652653342524,0.029634734665747762,0.028256374913852515,0.028256374913852515,0.07319015990570445,0.019399812004736255,0.01940044735800308
21,Read_documents,2797,0.9831962817304256,0.9831962817304256,0.9503038970325348,0.9831962817304256,0.016803718269574545,0.01144082946013586,0.027887021809081158,0.04962562552553695,0.015848594064057447,0.015871495602490605
22,Turn_pages,2071,0.9439884113954612,0.9435055528730082,0.9227426364075326,0.9439884113954612,0.05601158860453887,0.05456301303718011,0.06518590053114437,0.07321028422900641,0.025226029176633753,0.025283056740770013
