user_id,samples,c1_accuracy,t2_accuracy,t2_minus_c1,c1_only,t2_only
user1,149,0.3959731543624161,0.38926174496644295,-0.006711409395973145,3,2
user16,186,0.5483870967741935,0.489247311827957,-0.05913978494623651,13,2
user18,178,0.3595505617977528,0.3539325842696629,-0.005617977528089901,6,5
user19,186,0.6182795698924731,0.5860215053763441,-0.032258064516129004,11,5
user2,167,0.5389221556886228,0.5329341317365269,-0.005988023952095856,9,8
user20,159,0.27672955974842767,0.3584905660377358,0.08176100628930816,4,17
user21,133,0.24060150375939848,0.3233082706766917,0.08270676691729323,1,12
user22,191,0.3717277486910995,0.41361256544502617,0.04188481675392669,0,8
user3,161,0.4472049689440994,0.422360248447205,-0.0248447204968944,10,6
user5,100,0.29,0.29,0.0,3,3
user6,201,0.3333333333333333,0.3681592039800995,0.03482587064676618,3,10
user7,184,0.3967391304347826,0.391304347826087,-0.005434782608695621,9,8
user8,165,0.3575757575757576,0.3393939393939394,-0.018181818181818188,9,6
user9,181,0.44751381215469616,0.5580110497237569,0.11049723756906077,9,29
