model,fold,selected_epoch,outer_validation_trials,outer_accuracy,outer_macro_f1_40class,outer_weighted_f1
C1-TCN-T64,0,13,812,0.3608374384236453,0.23764082686232907,0.3168786784315077
T2-v1-T96,0,26,812,0.4088669950738916,0.3077945818356501,0.38758205488449055
C1-TCN-T64,1,34,667,0.46476761619190404,0.3745259284403149,0.45839916708475087
T2-v1-T96,1,24,667,0.4407796101949025,0.340161185982479,0.4270947604163009
C1-TCN-T64,2,23,862,0.41183294663573083,0.2943294576929148,0.38448220946923695
T2-v1-T96,2,22,862,0.4211136890951276,0.31189351079544575,0.39412820994342046
