model,samples,accuracy,macro_f1_40class,weighted_f1
C1-TCN-T64,2341,0.4092268261426741,0.300834981534819,0.38308524439571284
T2-v1-T96,2341,0.42246903032891925,0.3211705335385311,0.4017799318926477
