length_bucket,samples,c1_accuracy,t2_accuracy,t2_minus_c1,bootstrap_ci_low,bootstrap_ci_high,c1_only,t2_only
<=15,702,0.48005698005698005,0.5113960113960114,0.031339031339031376,0.01139601139601143,0.05128205128205132,16,38
16-31,835,0.3724550898203593,0.38203592814371257,0.009580838323353269,-0.010778443113772462,0.029940119760479056,33,41
32-63,640,0.4078125,0.403125,-0.004687500000000011,-0.029687500000000033,0.02031250000000001,36,33
>=64,164,0.29878048780487804,0.3231707317073171,0.024390243902439046,-0.018292682926829285,0.06707317073170732,5,9
