model,fold,selected_epoch,outer_validation_trials,outer_accuracy,outer_macro_f1_40class,outer_weighted_f1
C1-TCN,0,13,812,0.3608374384236453,0.23764082686232907,0.3168786784315077
D1-v1-STGCN,0,32,812,0.2561576354679803,0.13322530064343313,0.20571463671752996
C1-TCN,1,34,667,0.46476761619190404,0.3745259284403149,0.45839916708475087
D1-v1-STGCN,1,13,667,0.18140929535232383,0.059914719223100835,0.129929445487547
C1-TCN,2,23,862,0.41183294663573083,0.2943294576929148,0.38448220946923695
D1-v1-STGCN,2,32,862,0.25870069605568446,0.15078182321930633,0.22334975795555845
