user_id,samples,c1_accuracy,d1_accuracy,d1_minus_c1,c1_only,d1_only
user1,149,0.3959731543624161,0.1476510067114094,-0.24832214765100669,41,4
user16,186,0.5483870967741935,0.17204301075268819,-0.3763440860215053,81,11
user18,178,0.3595505617977528,0.1853932584269663,-0.1741573033707865,36,5
user19,186,0.6182795698924731,0.34946236559139787,-0.26881720430107525,57,7
user2,167,0.5389221556886228,0.24550898203592814,-0.29341317365269465,55,6
user20,159,0.27672955974842767,0.2389937106918239,-0.037735849056603765,20,14
user21,133,0.24060150375939848,0.18796992481203006,-0.05263157894736842,8,1
user22,191,0.3717277486910995,0.2356020942408377,-0.13612565445026178,38,12
user3,161,0.4472049689440994,0.3416149068322981,-0.10559006211180127,19,2
user5,100,0.29,0.21,-0.07999999999999999,20,12
user6,201,0.3333333333333333,0.20398009950248755,-0.12935323383084577,38,12
user7,184,0.3967391304347826,0.27717391304347827,-0.11956521739130432,30,8
user8,165,0.3575757575757576,0.15757575757575756,-0.20000000000000004,39,6
user9,181,0.44751381215469616,0.3149171270718232,-0.13259668508287298,32,8
