fold,selected_epoch,inner_final_train_accuracy,inner_max_train_accuracy,inner_best_validation_accuracy,formal_final_train_accuracy,formal_max_train_accuracy,outer_accuracy
0,32,0.3669201520912547,0.3697718631178707,0.2117400419287211,0.3407455853499019,0.354480052321779,0.2561576354679803
1,13,0.3276143790849673,0.3276143790849673,0.1844444444444444,0.2252090800477897,0.2383512544802867,0.18140929535232383
2,32,0.3441762854144806,0.3473242392444911,0.2509505703422053,0.3340094658553076,0.350236646382691,0.25870069605568446
