label,samples,c1_accuracy,t1_accuracy,t1_minus_c1,c1_only,t1_only
0,32,0.625,0.59375,-0.03125,1,0
1,36,0.19444444444444445,0.25,0.05555555555555555,0,2
2,45,0.13333333333333333,0.2,0.06666666666666668,0,3
3,30,0.06666666666666667,0.16666666666666666,0.09999999999999999,0,3
4,55,0.2,0.2545454545454545,0.05454545454545451,3,6
5,42,0.42857142857142855,0.4523809523809524,0.023809523809523836,5,6
6,107,0.45794392523364486,0.40186915887850466,-0.05607476635514019,7,1
7,122,0.4672131147540984,0.38524590163934425,-0.08196721311475413,11,1
8,83,0.12048192771084337,0.1927710843373494,0.07228915662650603,1,7
9,115,0.4782608695652174,0.4434782608695652,-0.034782608695652195,4,0
10,101,0.1782178217821782,0.13861386138613863,-0.039603960396039584,6,2
11,88,0.20454545454545456,0.29545454545454547,0.09090909090909091,0,8
12,54,0.4074074074074074,0.3888888888888889,-0.01851851851851849,5,4
13,50,0.34,0.32,-0.020000000000000018,4,3
14,29,0.0,0.034482758620689655,0.034482758620689655,0,1
15,43,0.32558139534883723,0.23255813953488372,-0.09302325581395351,4,0
16,15,0.0,0.0,0.0,0,0
17,69,0.5507246376811594,0.6086956521739131,0.05797101449275366,6,10
18,27,0.1111111111111111,0.1111111111111111,0.0,0,0
19,35,0.08571428571428572,0.08571428571428572,0.0,0,0
20,82,0.17073170731707318,0.2682926829268293,0.0975609756097561,1,9
21,58,0.22413793103448276,0.27586206896551724,0.051724137931034475,2,5
22,50,0.26,0.2,-0.06,3,0
23,58,0.46551724137931033,0.46551724137931033,0.0,3,3
24,32,0.0,0.15625,0.15625,0,5
25,6,0.0,0.0,0.0,0,0
26,28,0.03571428571428571,0.10714285714285714,0.07142857142857142,0,2
27,27,0.07407407407407407,0.2222222222222222,0.14814814814814814,0,4
28,26,0.6538461538461539,0.6538461538461539,0.0,1,1
29,62,0.5645161290322581,0.6129032258064516,0.048387096774193505,1,4
30,38,0.868421052631579,0.868421052631579,0.0,1,1
31,67,0.746268656716418,0.7164179104477612,-0.029850746268656803,2,0
32,60,0.6833333333333333,0.7,0.016666666666666607,1,2
33,27,0.6296296296296297,0.6296296296296297,0.0,1,1
34,116,0.6724137931034483,0.6551724137931034,-0.017241379310344862,4,2
35,21,0.047619047619047616,0.047619047619047616,0.0,0,0
36,264,0.9090909090909091,0.9204545454545454,0.011363636363636354,1,4
37,51,0.0392156862745098,0.058823529411764705,0.0196078431372549,0,1
38,50,0.06,0.06,0.0,0,0
39,40,0.075,0.1,0.02500000000000001,0,1
