user_id,samples,c1_accuracy,t1_accuracy,t1_minus_c1,c1_only,t1_only
user1,149,0.3959731543624161,0.37583892617449666,-0.020134228187919434,5,2
user16,186,0.5483870967741935,0.5376344086021505,-0.010752688172043001,3,1
user18,178,0.3595505617977528,0.3595505617977528,0.0,7,7
user19,186,0.6182795698924731,0.6075268817204301,-0.010752688172043001,4,2
user2,167,0.5389221556886228,0.5269461077844312,-0.0119760479041916,4,2
user20,159,0.27672955974842767,0.3522012578616352,0.07547169811320753,5,17
user21,133,0.24060150375939848,0.3308270676691729,0.09022556390977443,0,12
user22,191,0.3717277486910995,0.39267015706806285,0.020942408376963373,0,4
user3,161,0.4472049689440994,0.391304347826087,-0.05590062111801242,14,5
user5,100,0.29,0.28,-0.009999999999999953,2,1
user6,201,0.3333333333333333,0.3383084577114428,0.004975124378109486,1,2
user7,184,0.3967391304347826,0.3804347826086957,-0.016304347826086918,9,6
user8,165,0.3575757575757576,0.3575757575757576,0.0,8,8
user9,181,0.44751381215469616,0.5414364640883977,0.09392265193370158,16,33
