model,samples,accuracy,macro_f1_40class,weighted_f1
C1-TCN,2341,0.4092268261426741,0.300834981534819,0.38308524439571284
T1-v1-SegmentAware-TCN,2341,0.4194788551900897,0.3244304612905289,0.40461393171775584
