model,fold,selected_epoch,outer_validation_trials,outer_accuracy,outer_macro_f1_40class,outer_weighted_f1
C1-TCN,0,13,812,0.3608374384236453,0.23764082686232907,0.3168786784315077
T1-v1-SegmentAware-TCN,0,30,812,0.4002463054187192,0.3062234865567365,0.3817912685298478
C1-TCN,1,34,667,0.46476761619190404,0.3745259284403149,0.45839916708475087
T1-v1-SegmentAware-TCN,1,34,667,0.4542728635682159,0.372259401182088,0.4518333196206149
C1-TCN,2,23,862,0.41183294663573083,0.2943294576929148,0.38448220946923695
T1-v1-SegmentAware-TCN,2,23,862,0.41067285382830626,0.30093231811436244,0.3864669624567055
