segment_group,samples,c1_accuracy,t1_accuracy,t1_minus_c1,bootstrap_ci_low,bootstrap_ci_high,c1_only,t1_only
multiple_segments,88,0.3977272727272727,0.36363636363636365,-0.03409090909090906,-0.11363636363636365,0.04545454545454547,8,5
single_segment,2253,0.40967598757212603,0.4216600088770528,0.011984021304926762,0.00044385264092322574,0.023080337328007128,70,97
